ID:	--
Memory	--
	--
Chn	--
1592	3,13993E-4
1593	2,88534E-4
1594	2,88534E-4
1595	1,69726E-4
1596	2,88534E-4
1597	2,46103E-4
1598	2,37616E-4
1599	3,30966E-4
1600	2,80048E-4
1601	2,80048E-4
1602	2,46103E-4
1603	3,64911E-4
1604	3,05507E-4
1605	2,88534E-4
1606	1,95185E-4
1607	2,20644E-4
1608	2,03671E-4
1609	2,63075E-4
1610	2,9702E-4
1611	1,78212E-4
1612	2,63075E-4
1613	3,30966E-4
1614	2,12157E-4
1615	2,71562E-4
1616	3,05507E-4
1617	2,2913E-4
1618	2,2913E-4
1619	1,78212E-4
1620	2,54589E-4
1621	1,95185E-4
1622	2,37616E-4
1623	2,54589E-4
1624	2,46103E-4
1625	2,46103E-4
1626	2,46103E-4
1627	2,12157E-4
1628	2,20644E-4
1629	1,78212E-4
1630	2,2913E-4
1631	2,54589E-4
1632	2,46103E-4
1633	2,2913E-4
1634	2,20644E-4
1635	2,12157E-4
1636	2,46103E-4
1637	2,20644E-4
1638	2,03671E-4
1639	2,46103E-4
1640	1,95185E-4
1641	2,37616E-4
1642	2,71562E-4
1643	2,63075E-4
1644	2,12157E-4
1645	2,2913E-4
1646	2,2913E-4
1647	2,63075E-4
1648	2,63075E-4
1649	1,69726E-4
1650	1,86699E-4
1651	2,63075E-4
1652	2,46103E-4
1653	2,12157E-4
1654	2,12157E-4
1655	2,9702E-4
1656	2,63075E-4
1657	1,69726E-4
1658	2,37616E-4
1659	2,63075E-4
1660	1,6124E-4
1661	1,52753E-4
1662	1,78212E-4
1663	2,20644E-4
1664	2,03671E-4
1665	2,46103E-4
1666	1,69726E-4
1667	2,37616E-4
1668	1,69726E-4
1669	1,95185E-4
1670	2,37616E-4
1671	2,12157E-4
1672	1,52753E-4
1673	1,78212E-4
1674	2,54589E-4
1675	2,03671E-4
1676	1,95185E-4
1677	2,03671E-4
1678	1,44267E-4
1679	1,52753E-4
1680	1,27294E-4
1681	2,37616E-4
1682	2,80048E-4
1683	1,86699E-4
1684	2,46103E-4
1685	1,78212E-4
1686	2,9702E-4
1687	2,20644E-4
1688	1,86699E-4
1689	2,03671E-4
1690	2,03671E-4
1691	2,03671E-4
1692	2,03671E-4
1693	1,95185E-4
1694	1,52753E-4
1695	1,95185E-4
1696	2,54589E-4
1697	1,78212E-4
1698	2,12157E-4
1699	1,95185E-4
1700	2,12157E-4
1701	2,20644E-4
1702	2,71562E-4
1703	2,2913E-4
1704	2,20644E-4
1705	1,52753E-4
1706	2,2913E-4
1707	1,69726E-4
1708	1,95185E-4
1709	1,69726E-4
1710	2,2913E-4
1711	2,37616E-4
1712	1,35781E-4
1713	1,95185E-4
1714	2,12157E-4
1715	1,52753E-4
1716	1,6124E-4
1717	1,44267E-4
1718	1,69726E-4
1719	2,63075E-4
1720	2,2913E-4
1721	2,71562E-4
1722	1,69726E-4
1723	2,2913E-4
1724	1,95185E-4
1725	1,52753E-4
1726	1,52753E-4
1727	2,03671E-4
1728	1,95185E-4
1729	1,6124E-4
1730	1,6124E-4
1731	2,20644E-4
1732	1,35781E-4
1733	1,18808E-4
1734	2,20644E-4
1735	1,52753E-4
